time_window,total_packets,mean_packet_size,std_packet_size,icmp_count,arp_count,mean_inter_arrival,std_inter_arrival
0,21,60.76190476190476,5.0784324540625905,0,12,0.45314459800720214,0.6978310612950334
1,5,52.0,0.0,0,0,1.999979019165039,0.013618334186968555
2,11,70.9090909090909,21.952013782131903,4,2,0.9591408014297486,0.9021591911949038
3,12,75.0,24.022716521886302,6,0,0.9076738140799783,0.7825838236738583
4,4,52.0,0.0,0,0,1.9944963455200195,0.01227107997358568
5,6,52.0,0.0,0,0,1.996662425994873,0.017305081707395364
6,4,52.0,0.0,0,0,1.9957139492034912,0.016999449357516776
7,6,52.0,0.0,0,0,1.996734380722046,0.015556747643932051
8,4,52.0,0.0,0,0,1.9933066368103027,0.01616451903337516
9,6,52.0,0.0,0,0,1.9967299938201903,0.01606305377877664
10,4,52.0,0.0,0,0,1.9947656790415447,0.015458928935541284
11,6,52.0,0.0,0,0,1.840348196029663,0.3217636336087545
12,5,52.0,0.0,0,0,1.999814510345459,0.015745372183444822
13,5,52.0,0.0,0,0,1.9999402165412903,0.01599375572713424
14,1,52.0,,0,0,0.0,0.0
